100002,Richard Neal,South Central,,CrossFit Underworld,Male,42,5'6",160 lb,3:44,9:54,--,--,307,--,--,185 lb,135 lb,330 lb,305 lb,--
100004,Todd Burgess,North West,,CrossFit 253,Male,46,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100005,Matt DiMarco,North Central,,CrossFit Manitowoc,Male,34,6'0",175 lb,2:52,7:01,2:59,17:29,412,--,20:01,225 lb,165 lb,465 lb,295 lb,50
100008,Mackenzie Aubrey,Mid Atlantic,Six Feet of Rubicon,CrossFit Rubicon,Female,26,5'6",153 lb,--,--,--,--,269,--,24:54,113 lb,--,263 lb,--,--
100009,Mlyssa Gagnon,Canada East,Sags Team,CrossFit Sag,Female,31,5'4",115 lb,--,--,--,--,--,--,--,--,--,--,--,--
10001,maria Guzman,,,,Female,35,5'0",155 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
100010,Jim McCarthy,North East,CrossFit Portsmouth,CrossFit Portsmouth,Male,55,6'0",225 lb,--,--,--,--,--,--,--,175 lb,--,285 lb,225 lb,2
100011,Christopher Ancona,North East,Reebok Crossfit Back Bay II,Reebok CrossFit Back Bay,Male,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100012,Anthoni Alberti,Mid Atlantic,,,Male,19,--,--,--,--,--,--,--,--,--,265 lb,205 lb,455 lb,405 lb,--
100013,Eric Karls,Central East,,CrossFit 859,Male,35,6'1",174 lb,6:18,--,5:29,25:06,344,--,--,--,--,315 lb,245 lb,--
100014,Andy Mitchell,Europe,CrossFit Fareham,Crossfit Fareham,Male,28,182 cm,95 kg,--,--,--,--,--,--,--,110 kg,--,200 kg,140 kg,--
100015,Scott Kowalski,North Central,,,Male,32,6'0",195 lb,--,--,--,--,--,--,23:45,--,--,--,--,--
100017,Shaun Kimack,Mid Atlantic,Crossfit Athletics,CrossFit Athletics,Male,29,5'11",188 lb,5:30,--,--,--,--,--,--,--,--,--,--,--
100019,Giannina Dongo,Latin America,CrossFit Peru 1,CrossFit Reebok Peru,Female,28,162 cm,58 kg,--,--,--,--,--,--,--,--,--,--,--,--
10002,Christian Batchelor,Mid Atlantic,,CrossFit Sua Sponte,Male,31,6'0",170 lb,5:38,0:00,3:22,0:00,--,0:00,0:00,245 lb,190 lb,405 lb,345 lb,--
100021,Claire Campbell,Australia,,Charge CrossFit,Female,33,173 cm,75 kg,--,--,--,--,--,--,--,62 kg,45 kg,95 kg,--,--
100022,Brock Genter,Southern California,CrossFit Bako,CrossFit Bako,Male,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100024,Jon Adams,Northern California,Diablo CrossFit Blanco,Diablo CrossFit,Male,36,5'11",220 lb,5:24,11:07,2:58,23:14,272,--,--,205 lb,165 lb,425 lb,315 lb,--
100027,Vincent Quintin,Canada East,CrossFit Fabrik,CrossFit Fabrik,Male,27,5'6",150 lb,7:16,--,--,--,--,--,22:10,190 lb,155 lb,345 lb,285 lb,26
10003,Heather Ziccardi,,,,Female,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100031,Sotiris Markitanis,Europe,,CrossFit Limassol,Male,16,166 cm,148 lb,--,--,--,--,--,1:00,21:00,210 lb,170 lb,--,300 lb,47
100033,Matt Williams,Mid Atlantic,CrossFit Conshy,CrossFit Conshohocken,Male,25,5'0",165 lb,7:53,--,12:30,--,--,--,--,175 lb,115 lb,305 lb,275 lb,--
100034,Ryan Golphenee,Southern California,,CrossFit Santa Clarita,Male,38,5'10",185 lb,--,7:42,--,--,--,--,--,205 lb,145 lb,385 lb,245 lb,42
100036,Mercedes Sotelo,South West,Crossfit Loveland,CrossFit Loveland,Female,23,5'4",145 lb,9:36,--,--,--,--,--,--,115 lb,85 lb,225 lb,175 lb,10
100038,Erin Hathaway,South Central,,CrossFit Ammo,Female,31,5'8",133 lb,4:02,8:14,4:31,--,--,--,21:42,--,--,225 lb,170 lb,40
10004,Jeremy Brollier,South East,,Lowcountry CrossFit,Male,41,5'9",190 lb,3:04,9:27,3:20,29:20,311,1:12,0:00,225 lb,155 lb,475 lb,370 lb,37
100042,Steven Kwong,South East,CrossFit Tire Factory WOD FreaKs,CrossFit Tire Factory,Male,34,5'8",155 lb,--,--,--,32:21,--,1:34,28:12,--,--,--,--,--
100043,Emilie Pettersen,Canada East,CF Plateau,CrossFit Plateau,Female,26,169 cm,145 lb,--,--,--,--,--,--,--,145 lb,100 lb,235 lb,200 lb,7
100044,Jojo Hall,Mid Atlantic,CrossFit Vitality,CrossFit Vitality,Female,23,5'6",166 lb,--,--,--,--,259,--,0:00,--,--,245 lb,--,--
100045,Elvar Karlsson,Europe,Thor,CrossFit Stodin,Male,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100047,Paige Singleton,South Central,CrossFit 1525,CrossFit 1525,Female,26,5'3",162 lb,--,--,--,--,--,--,--,135 lb,105 lb,245 lb,225 lb,--
100049,Ron Gross,North West,CrossFit Olympia,CrossFit Olympia,Male,42,5'11",170 lb,7:52,14:04,10:40,--,217,--,--,175 lb,135 lb,315 lb,295 lb,--
10005,Jim McCarry,North West,Rainier CrossFit,Rainier CrossFit,Male,61,5'9",165 lb,10:28,11:27,0:00,0:00,217,0:00,0:00,135 lb,115 lb,285 lb,180 lb,35
100051,Tanya Mccort,Central East,MTM CrossFit,MTM CrossFit,Female,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100052,suzanne woodason,Europe,,CrossFit Guildford,Female,56,5'6",--,--,--,--,--,--,--,--,--,--,85 kg,--,--
100055,Richard Andres,Northern California,Hercules Titans,Hercules CrossFit,Male,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100057,Robert Carlson,North West,CrossFit Yelm,CrossFit Yelm,Male,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100058,Ryan Robertson,Asia,CrossFit 89,CrossFit 89,Male,29,5'10",250 lb,--,--,--,--,--,--,32:03,--,165 lb,395 lb,325 lb,1
100059,Josh Parrish,South East,Circle City CrossFit,Circle City CrossFit,Male,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10006,Melissa Days,,,,Female,32,5'7",123 lb,7:47,12:51,5:26,27:46,251,0:00,0:00,120 lb,95 lb,205 lb,--,23
100060,Richard Swords,South Central,CrossFit Round Rock,CrossFit Round Rock,Male,45,--,195 lb,4:22,--,--,--,--,--,--,--,--,415 lb,385 lb,25
100061,Kim Colle,South Central,,Bandit CrossFit,Female,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--
